user_id,skin_type,personal_color,sensitiveness,non_inflammatory_acne,trouble,atopy,dead_skin,eyebags,pore,elasticity,wrinkle,blemish,lightening
올립영전메이투,복합성,웜톤,,,,,,O,O,,,,
징쎈,민감성,봄웜톤,O,,O,,,,,,,,
스리쓰,지성,봄웜톤,,,,,O,,O,,,,
데이지33,건성,쿨톤,,,,,,,,,,O,O
스타일러,복합성,여름쿨톤,,,,,,,O,O,,,
매일귀여운강아지,민감성,여름쿨톤,O,,,,,,O,,,,
텅수,민감성,웜톤,O,,,,,,O,,,,
키위새깜자,지성,가을웜톤,,,,,,O,O,,,,
코기러버,민감성,웜톤,O,O,,,,,,,,,
쩡쫑찡,복합성,봄웜톤,,,,,,,,,O,O,
BTSKOMO,복합성,웜톤,,O,,,,,O,,,,
yop,복합성,쿨톤,,O,,,,,O,,,,
본예이,민감성,봄웜톤,O,,,O,,,,,,,
비치양,민감성,쿨톤,O,,,,,,,O,,,
맥주가조와,복합성,웜톤,,,,,,O,O,,,,
쁄,,,,,,,,,,,,,
또료니,,,,,,,,,,,,,
건조해엄청나,민감성,봄웜톤,O,,,,,,,,,O,
무병장수,복합성,쿨톤,,,O,,,,O,,,,
흰뚜루,복합성,쿨톤,,,,,,,,,O,O,
RIRI078,민감성,웜톤,O,,,,O,,O,,,,
이안901,건성,웜톤,,,,,,,,,,,O
수동한,,,,,,,,,,,,,
식물킹,민감성,쿨톤,O,,,,O,,O,,,,
dy****,,,,,,,,,,,,,
모얌당고,복합성,여름쿨톤,,O,,,,,,,,O,
탄탄고고,복합성,봄웜톤,,,,,O,,O,,,,
jk****,복합성,,,,,,,,,,,,
단이00214,복합성,겨울쿨톤,,O,,,,,O,,,,
젤로,건성,,,,,,,,,,,,
Lynniee,,,,,,,,,,,,,
마인,건성,쿨톤,,,,,,,,,O,O,
뷰티플데이,,,,,,,,,,,,,
OliviaSpanish,민감성,쿨톤,O,,,,,,,,,,
이수아아,건성,여름쿨톤,,O,,,,,O,,,,
미니골드,,,,,,,,,,,,,
밤송,민감성,봄웜톤,O,,,,,,O,,,,
띠링띠링띠로링,복합성,쿨톤,,,,,,,O,,,O,
쿠키토끼,민감성,여름쿨톤,O,O,,,,,O,,,,
susu70,,,,,,,,,,,,,
뽀이동이,건성,쿨톤,,,,,,,O,O,,,
별향,건성,쿨톤,,,,,O,O,,,,,
히플이,건성,쿨톤,,O,,,,,O,,,,
투벨실버,건성,웜톤,,,,,,O,O,,,,
요가파이어,건성,웜톤,,,,,,O,,,,O,
보라꾸미,복합성,,,,,,O,,O,,,,
엘레니짱,민감성,쿨톤,O,,,,,,O,,,,
기야운고양이,,,,,,,,,,,,,
올영노예가꿈,복합성,가을웜톤,,,,,O,O,,,,,
방미,복합성,봄웜톤,,,,,,,,,,O,
꾸꾸깍까,복합성,가을웜톤,,,,,,,O,,,O,
퍼플유방탄,,,,,,,,,,,,,
lovedeer,민감성,쿨톤,O,,,,O,,O,,,,
옐로문,,,,,,,,,,,,,
V은하수V,복합성,웜톤,,,,,O,,O,,,,
첫느낌그대로,지성,웜톤,,,,,O,,O,,,,
estrella1007,복합성,여름쿨톤,,O,,,,,,,,O,
망개떡포에버,,,,,,,,,,,,,
방그리,,,,,,,,,,,,,
szxszx,복합성,여름쿨톤,,,,,O,,O,,,,
메이크업배우기,,,,,,,,,,,,,
샤랄라,,,,,,,,,,,,,
킥킥,건성,여름쿨톤,,,,,,,,,,,
우리은하,복합성,쿨톤,,,,,O,,,,,,O
밝고자신있게,,,,,,,,,,,,,
jk****,,,,,,,,,,,,,
ㄹㄹㄹㅂ,복합성,,,,,,,,,,,,
올리브쟁이,건성,쿨톤,,,,,O,,,,,,O
나타샤,민감성,여름쿨톤,O,,,,,,O,,,,
젤로옐로,민감성,,O,,,,,,,,,,
ss25****,,,,,,,,,,,,,
슈수수수퍼노밥,,,,,,,,,,,,,
려워니진,,,,,,,,,,,,,
doelekd,,,,,,,,,,,,,
jaemi****,,,,,,,,,,,,,
202짱,,,,,,,,,,,,,
미니용구리,,,,,,,,,,,,,
yeonsu****,복합성,가을웜톤,,,,,,,O,,,,
애햄,,,,,,,,,,,,,
롸늬,지성,여름쿨톤,,,,,O,O,,,,,
윤댕궁댕,민감성,봄웜톤,O,,,,,,,,,,
여쿨뮤뮤뮤,복합성,여름쿨톤,,,,,,,,,,,O
홍대미대생,복합성,여름쿨톤,,O,,,,,O,,,,
뿅뿅감자,,,,,,,,,,,,,
party****,,,,,,,,,,,,,
k202401162****,,,,,,,,,,,,,
석찌니,복합성,여름쿨톤,,,,,O,O,,,,,
낑낑밥솥,민감성,여름쿨톤,O,O,,,,,,,,,
이우우이,건성,쿨톤,,,,,O,O,,,,,
윤나,복합성,쿨톤,,,,,,,O,,,O,
일단사본다,,,,,,,,,,,,,
ouestdans,복합성,겨울쿨톤,,,,,,,,,,O,O
볼빨고싼춘기,,,,,,,,,,,,,
정E,건성,쿨톤,,,,,,,,,,O,O
sunyoun****,지성,가을웜톤,,O,,,,,O,,,,
어노운,,,,,,,,,,,,,
아지난,민감성,봄웜톤,O,,,,,,,,O,,
올리브늙은이,민감성,여름쿨톤,O,,,,O,,O,,,,
Lalaloo,복합성,쿨톤,,O,,,,,O,,,,
vec****,복합성,쿨톤,,O,,,,,,,,O,
as****,,,,,,,,,,,,,
올립응,,,,,,,,,,,,,
diosa****,지성,웜톤,,,,,O,,O,,,,
쵸파사랑,민감성,쿨톤,O,,O,,,,,,,,
알콩달콩해,민감성,겨울쿨톤,O,,,,,,,,,O,
외계인먼상,,,,,,,,,,,,,
ndj****,,,,,,,,,,,,,
엄마말들을걸,,,,,,,,,,,,,
1meloveme,복합성,쿨톤,,,,,O,,O,,,,
바나냐,복합성,봄웜톤,,,,,,O,O,,,,
블랙니니,복합성,가을웜톤,,,,,,,O,,,,
상콤한앤,,,,,,,,,,,,,
erissel,복합성,가을웜톤,,,,,O,,O,,,,
wjdgosk20,,,,,,,,,,,,,
leesh****,건성,쿨톤,,,,,O,O,,,,,
vpdjr****,,,,,,,,,,,,,
포이유,,,,,,,,,,,,,
아저씨여기서내릴께요,,,,,,,,,,,,,
통고숨,복합성,여름쿨톤,,,,O,,,O,,,,
윤지효,,,,,,,,,,,,,
와랄라웅,,,,,,,,,,,,,
노원불뷔둘귀,,,,,,,,,,,,,
saver****,,,,,,,,,,,,,
jung11****,,,,,,,,,,,,,
17kiduy****,지성,웜톤,,,,,O,,O,,,,
쵸코쇼코쵸코,지성,여름쿨톤,,,,,,,O,,,O,
끼누누,복합성,봄웜톤,,,,,O,,O,,,,
edit****,,,,,,,,,,,,,
dksthg****,,,,,,,,,,,,,
kangyoo****,,,,,,,,,,,,,
leng****,,,,,,,,,,,,,
kk****,,,,,,,,,,,,,
dksrk****,,,,,,,,,,,,,
dodoh****,,,,,,,,,,,,,
잔나방,민감성,,O,,,,,,,,,O,
지잉짜앙,민감성,여름쿨톤,O,,,,,,,,,O,
서작가,복합성,웜톤,,,,,,,,,,,
예빈ㅇ,건성,여름쿨톤,,,,,,O,O,,,,
곰순이곰순이,,,,,,,,,,,,,
dla98****,,,,,,,,,,,,,
qotjgu****,,,,,,,,,,,,,
허니영이맘,,,,,,,,,,,,,
Huii07,건성,쿨톤,,,,,O,O,,,,,
yhsh****,,,,,,,,,,,,,
라리짱,건성,쿨톤,,,,,O,,O,,,,
혜닝2,민감성,웜톤,O,,,,,,,,,O,
hyeo****,,,,,,,,,,,,,
ke****,민감성,웜톤,O,,,,,,,,,,
15151,,,,,,,,,,,,,
김퍼플씨,복합성,봄웜톤,,,,,,,O,O,,,
